,Price-Date,Close,High,Low,Open,Volume,Year,Month,Weekday,HL_PCT,PCT_change,Avg_Price
2,2007-09-17,4494.64990234375,4549.0498046875,4482.85009765625,4518.4501953125,0,2007,9,0,1.476732560516822,-0.5267357598284638,4508.849934895833
3,2007-09-18,4546.2001953125,4551.7998046875,4481.5498046875,4494.10009765625,0,2007,9,1,1.5675380852963332,1.1592998937300283,4526.5166015625
4,2007-09-19,4732.35009765625,4739.0,4550.25,4550.25,0,2007,9,2,4.148123729465414,4.0019800594747545,4673.86669921875
5,2007-09-20,4747.5498046875,4760.85009765625,4721.14990234375,4734.85009765625,0,2007,9,3,0.8409009697572065,0.26821772113833875,4743.183268229167
6,2007-09-21,4837.5498046875,4855.7001953125,4733.7001953125,4752.9501953125,0,2007,9,4,2.57726503509473,1.7799388989692053,4808.9833984375
7,2007-09-24,4932.2001953125,4941.14990234375,4837.14990234375,4837.14990234375,0,2007,9,0,2.1500264019026734,1.9650061479941976,4903.5
8,2007-09-25,4938.85009765625,4953.89990234375,4878.14990234375,4939.10009765625,0,2007,9,1,1.552842809598886,-0.005061650807980839,4923.63330078125
9,2007-09-26,4940.5,4980.85009765625,4930.35009765625,4937.60009765625,0,2007,9,2,1.0242680337042653,0.05873100871669433,4950.566731770833
10,2007-09-27,5000.5498046875,5016.39990234375,4942.7001953125,4942.7001953125,0,2007,9,3,1.4910818807328121,1.1704049828849166,4986.549967447917
11,2007-09-28,5021.35009765625,5055.7998046875,4996.4501953125,4996.4501953125,0,2007,9,4,1.1878355043082345,0.49835185722676156,5024.533365885417
12,2007-10-01,5068.9501953125,5089.2998046875,5001.35009765625,5021.5,0,2007,10,0,1.7585193060662818,0.9449406614059543,5053.200032552083
13,2007-10-03,5210.7998046875,5261.35009765625,5034.14990234375,5069.0,0,2007,10,2,4.5131789819513,2.7973920830045373,5168.7666015625
14,2007-10-04,5208.64990234375,5233.10009765625,5126.0498046875,5211.64990234375,0,2007,10,3,2.0883584250558433,-0.057563344741381396,5189.2666015625
15,2007-10-05,5185.85009765625,5248.5498046875,5164.5,5208.14990234375,0,2007,10,4,1.6274528935521348,-0.42817132965901644,5199.63330078125
16,2007-10-08,5085.10009765625,5249.2998046875,5024.75,5186.25,0,2007,10,0,4.468875161699587,-1.9503475988189924,5119.716634114583
17,2007-10-09,5327.25,5348.7001953125,5000.9501953125,5062.64990234375,0,2007,10,1,6.953678529451336,5.22651383682987,5225.633463541667
18,2007-10-10,5441.4501953125,5454.7001953125,5328.14990234375,5328.14990234375,0,2007,10,2,2.3751263625875647,2.1264471729466807,5408.10009765625
19,2007-10-11,5524.85009765625,5532.75,5424.25,5438.89990234375,0,2007,10,3,2.0002765359266257,1.5802863971712742,5493.950032552083
20,2007-10-12,5428.25,5549.2998046875,5402.60009765625,5525.2998046875,0,2007,10,4,2.715353799643455,-1.7564622394818437,5460.049967447917
21,2007-10-15,5670.39990234375,5682.64990234375,5419.89990234375,5428.35009765625,0,2007,10,0,4.847875509405218,4.458993991415691,5590.983235677083
22,2007-10-16,5668.0498046875,5708.35009765625,5578.4501953125,5670.64990234375,0,2007,10,1,2.3286019915155505,-0.04585184592643159,5651.61669921875
23,2007-10-17,5559.2998046875,5658.89990234375,5107.2998046875,5658.89990234375,0,2007,10,2,10.800229450990702,-1.7600611315813974,5441.833170572917
24,2007-10-18,5351.0,5736.7998046875,5269.64990234375,5551.10009765625,0,2007,10,3,8.864913438290817,-3.604692657960446,5452.483235677083
25,2007-10-19,5215.2998046875,5390.85009765625,5101.75,5360.35009765625,0,2007,10,4,5.66668491510266,-2.7059854361410376,5235.966634114583
26,2007-10-22,5184.0,5247.39990234375,5070.89990234375,5202.75,0,2007,10,0,3.480644528566269,-0.36038633415020904,5167.433268229167
27,2007-10-23,5473.7001953125,5488.5,5176.85009765625,5185.2998046875,0,2007,10,1,6.020068119894863,5.56188458696808,5379.683430989583
28,2007-10-24,5496.14990234375,5577.89990234375,5419.39990234375,5477.60009765625,0,2007,10,2,2.924678061337619,0.3386483926681152,5497.816569010417
29,2007-10-25,5568.9501953125,5605.9501953125,5469.2998046875,5499.0498046875,0,2007,10,3,2.49849881163733,1.2711357981412625,5548.066731770833
30,2007-10-26,5702.2998046875,5716.89990234375,5513.35009765625,5564.25,0,2007,10,4,3.6919441189492015,2.4810136979377275,5644.183268229167
31,2007-10-29,5905.89990234375,5922.5,5708.89990234375,5708.89990234375,0,2007,10,0,3.7415281632203414,3.4507523931033193,5845.7666015625
32,2007-10-30,5868.75,5976.0,5833.89990234375,5917.5498046875,0,2007,10,1,2.4357650977035403,-0.8246623399577296,5892.88330078125
33,2007-10-31,5900.64990234375,5952.25,5861.2998046875,5868.89990234375,0,2007,10,2,1.551706930939853,0.5409872468146988,5904.733235677083
34,2007-11-01,5866.4501953125,6011.9501953125,5837.2001953125,5903.7998046875,0,2007,11,3,2.99372977031576,-0.6326367866563691,5905.2001953125
35,2007-11-02,5932.39990234375,5944.75,5714.25,5854.85009765625,0,2007,11,4,4.033775211095069,1.3245395423282296,5863.799967447917
36,2007-11-05,5847.2998046875,5948.5498046875,5819.60009765625,5931.89990234375,0,2007,11,0,2.2157829553130703,-1.426188894772545,5871.816569010417
37,2007-11-06,5786.5,5957.2001953125,5759.9501953125,5847.10009765625,0,2007,11,1,3.4245087771856753,-1.03641286525163,5834.550130208333
38,2007-11-07,5782.35009765625,5861.35009765625,5744.2998046875,5782.39990234375,0,2007,11,2,2.0376772965999073,-0.0008613151691534327,5796.0
39,2007-11-08,5698.75,5780.7998046875,5646.75,5779.2998046875,0,2007,11,3,2.3739284488865278,-1.3937640788624135,5708.7666015625
40,2007-11-12,5617.10009765625,5660.60009765625,5477.5,5660.60009765625,0,2007,11,0,3.342767643199452,-0.7684697602646584,5585.066731770833
41,2007-11-13,5695.39990234375,5758.85009765625,5591.60009765625,5612.35009765625,0,2007,11,1,2.9910937312935477,1.4797687821039902,5681.950032552083
42,2007-11-14,5937.89990234375,5950.2001953125,5700.0498046875,5703.9501953125,0,2007,11,2,4.388564998489768,4.101538390421249,5862.716634114583
43,2007-11-15,5912.10009765625,5966.9501953125,5895.64990234375,5942.7001953125,0,2007,11,3,1.209371216910376,-0.5149190881341588,5924.900065104167
44,2007-11-16,5906.85009765625,5948.0498046875,5817.39990234375,5913.14990234375,0,2007,11,4,2.245847019922302,-0.10653889706065112,5890.7666015625
45,2007-11-19,5907.64990234375,5981.7998046875,5893.7998046875,5908.0498046875,0,2007,11,0,1.493094487702334,-0.006768770693718829,5927.749837239583
46,2007-11-20,5780.89990234375,5923.7001953125,5755.7998046875,5911.25,0,2007,11,1,2.917064462323075,-2.2051190130048637,5820.13330078125
47,2007-11-21,5561.0498046875,5790.0498046875,5530.85009765625,5778.7998046875,0,2007,11,2,4.686435221614275,-3.7680834664556317,5627.316569010417
48,2007-11-22,5519.35009765625,5608.64990234375,5394.35009765625,5564.64990234375,0,2007,11,3,3.9726714211710044,-0.814063876119509,5507.450032552083
49,2007-11-23,5608.60009765625,5638.60009765625,5514.75,5524.2998046875,0,2007,11,4,2.2457971377895642,1.5259905499194522,5587.316731770833
50,2007-11-26,5731.7001953125,5772.5498046875,5608.9501953125,5611.2998046875,0,2007,11,0,2.9167598869343343,2.1456773798545106,5704.400065104167
51,2007-11-27,5698.14990234375,5743.5498046875,5655.60009765625,5729.25,0,2007,11,1,1.5550906272120872,-0.5428301724702186,5699.099934895833
52,2007-11-28,5617.5498046875,5749.9501953125,5595.5,5699.5498046875,0,2007,11,2,2.760257265883299,-1.4387101229041013,5654.333333333333
53,2007-11-29,5634.60009765625,5725.0,5612.10009765625,5617.7998046875,0,2007,11,3,2.0117228912381617,0.2990546753683143,5657.2333984375
54,2007-11-30,5762.75,5782.5498046875,5632.64990234375,5633.89990234375,0,2007,11,4,2.6612678746707927,2.2870498214327037,5725.983235677083
55,2007-12-03,5865.0,5878.7998046875,5754.60009765625,5765.4501953125,0,2007,12,0,2.1582682536330267,1.7266614282512966,5832.799967447917
56,2007-12-04,5858.35009765625,5897.25,5840.2998046875,5870.2001953125,0,2007,12,1,0.975124517867919,-0.2018687142171505,5865.299967447917
57,2007-12-05,5940.0,5949.2998046875,5859.9501953125,5861.89990234375,0,2007,12,2,1.524750320343553,1.3323342083173992,5916.416666666667
58,2007-12-06,5954.7001953125,6027.0498046875,5919.7998046875,5941.0498046875,0,2007,12,3,1.8117166718218374,0.22976394869185937,5967.183268229167
